ID	AGE Log (text)
Age1Log1	Мне подарили молоточек. На вкус он такой же, как пол.
Age1Log2	Меня всё время преследует запах овсянки с яблоками.
Age1Log3	Опыт показывает, что красный, синий, желтый и оранжевый кубики абсолютно одинаковы на вкус.
Age1Log4	Битый час объяснений и тыканий пальцем в полку с огурцами, мне всё равно купили яблоко.
Age1Log5	Мне подарили молоточек. На вкус он такой же, как пол.
Age1Log6	Меня всё время преследует запах овсянки с яблоками.
Age1Log7	Опыт показывает, что красный, синий, желтый и оранжевый кубики абсолютно одинаковы на вкус.
Age1Log8	Битый час объяснений и тыканий пальцем в полку с огурцами, мне всё равно купили яблоко.
Age1Log9	Меня всё время преследует запах овсянки с яблоками.
Age1Log10	Опыт показывает, что красный, синий, желтый и оранжевый кубики абсолютно одинаковы на вкус.
Age2Log1	Хоть плачь, хоть кричи, они не понимают, что мне не нравится фасон этой шапочки.
Age2Log2	Мне очень хотелось подержать в руках ту машинку, но меня одарили очередным плюшевым мишкой.
Age2Log3	В моей комнате целая армия плюшевых медведей. Некоторые, вдвое больше меня. Они явно замышляют недоброе.
Age2Log4	По телевизору показывали тётю, которая зпекает резиновую курицу и всем вкусно. А меня поставили в угол.
Age2Log5	Хоть плачь, хоть кричи, они не понимают, что мне не нравится фасон этой шапочки.
Age2Log6	Мне очень хотелось подержать в руках ту машинку, но меня одарили очередным плюшевым мишкой.
Age2Log7	В моей комнате целая армия плюшевых медведей. Некоторые, вдвое больше меня. Они явно замышляют недоброе.
Age2Log8	По телевизору показывали тётю, которая зпекает резиновую курицу и всем вкусно. А меня поставили в угол.
Age2Log9	Мне очень хотелось подержать в руках ту машинку, но меня одарили очередным плюшевым мишкой.
Age2Log10	В моей комнате целая армия плюшевых медведей. Некоторые, вдвое больше меня. Они явно замышляют недоброе.
Age3Log1	Собери игрушки, ешь кашу, слушай взрослых, не ругайся. А сами то?!
Age3Log2	Мне говорили не есть песок, что он невкусный. Но как здорово он хрустит на зубах!
Age3Log3	На кухне пахло пирогами и паприкой. С пирогами покончено, а паприка пусть живёт.
Age3Log4	Застирать, помыть с мылом, прополоснуть, высушить феном и досушить на батарее. Оказывается, смартфоны этого не любят!
Age3Log5	Собери игрушки, ешь кашу, слушай взрослых, не ругайся. А сами то?!
Age3Log6	Мне говорили не есть песок, что он невкусный. Но как здорово он хрустит на зубах!
Age3Log7	На кухне пахло пирогами и паприкой. С пирогами покончено, а паприка пусть живёт.
Age3Log8	Застирать, помыть с мыслом, прополоснуть, высушить феном и досушить на батарее. Оказывается, смартфоны этого не любят!
Age3Log9	Мне говорили не есть песок, что он невкусный. Но как здорово он хрустит на зубах!
Age3Log10	На кухне пахло пирогами и паприкой. С пирогами покончено, а паприка пусть живёт.
Age4Log1	Диаметр данного шарика позволяет воткнуть его в этот квадрат. С помощью молоточка, конечно.
Age4Log2	Мы с группой кормили уточек в парке. Наблюдение: сытым уткам тяжело уворачиваться от батонов.
Age4Log3	Яблоки в городском парке очень кислые. А вот трава - ничего так.
Age4Log4	В торговом центре стоит гигансткий олень с рогами из маленьких оленей. Зачем?
Age4Log5	Диаметр данного шарика позволяет воткнуть его в этот квадрат. С помощью молоточка, конечно.
Age4Log6	Мы с группой кормили уточек в парке. Наблюдение: сытым уткам тяжело уворачиваться от батонов.
Age4Log7	Яблоки в городском парке очень кислые. А вот трава - ничего так.
Age4Log8	В торговом центре стоит гигансткий олень с рогами из маленьких оленей. Зачем?
Age4Log9	Мы с группой кормили уточек в парке. Наблюдение: сытым уткам тяжело уворачиваться от батонов.
Age4Log10	Яблоки в городском парке очень кислые. А вот трава - ничего так.
Age5Log1	Мы играли в футбол во дворе и мяч закатился под машину. Водитель помог нам достать его и потом играл с нами.
Age5Log2	Когда я вырасту, я буду охранником в ЛегоЛенд и смогу играть столько, сколько захочу.
Age5Log3	Тётенька из прогноза погоды всё время мне улыбается. Она милая.
Age5Log4	Они заменили актрису, которая играла в "Спокойно ночи малыши". Думали, я не замечу.
Age5Log5	Мы играли в футбол во дворе и мяч закатился под машину. Водитель помог нам достать его и потом играл с нами.
Age5Log6	Когда я вырасту, я буду охранником в ЛегоЛенд и смогу играть столько, сколько захочу.
Age5Log7	Тётенька из прогноза погоды всё время мне улыбается. Она милая.
Age5Log8	Они заменили актрису, которая играла в "Спокойно ночи малыши". Думали, я не замечу.
Age5Log9	Когда я вырасту, я буду охранником в ЛегоЛенд и смогу играть столько, сколько захочу.
Age5Log10	Тётенька из прогноза погоды всё время мне улыбается. Она милая.
Age6Log1	Мне постоянно говорят, что вот-вот, скоро-скоро я пойду в школу и там будет замечательно. Я чую в этом какой-то подвох.
Age6Log2	Меня учат читать, считать и писать. А в школу, тогда, зачем я буду ходить?
Age6Log3	Выпускной из детского сада обещает быть крутейшей вечеринкой! Там будут клоуны и много сладостей!
Age6Log4	Раз, два, три, четыре, пять, сегодня в садик мне опять. 
Age6Log5	Мне постоянно говорят, что вот-вот, скоро-скоро я пойду в школу и там будет замечательно. Я чую в этом какой-то подвох.
Age6Log6	Меня учат читать, считать и писать. А в школу, тогда, зачем я буду ходить?
Age6Log7	Выпускной из детского сада обещает быть крутейшей вечеринкой! Там будут клоуны и много сладостей!
Age6Log8	Раз, два, три, четыре, пять, сегодня в садик мне опять. 
Age6Log9	Меня учат читать, считать и писать. А в школу, тогда, зачем я буду ходить?
Age6Log10	Выпускной из детского сада обещает быть крутейшей вечеринкой! Там будут клоуны и много сладостей!
