ID,Name
Profession1,Academic librarian
Profession2,Accountant
Profession3,Accounting technician
Profession4,Actuary
Profession5,Adult nurse
Profession6,Advertising account executive
Profession7,Advertising account planner
Profession8,Advertising copywriter
Profession9,Advice worker
Profession10,Advocate 
Profession11,Aeronautical engineer
Profession12,Agricultural consultant
Profession13,Agricultural manager
Profession14,Humanitarian worker
Profession15,Air traffic controller
Profession16,Airline cabin crew
Profession17,Amenity horticulturist
Profession18,Analytical chemist
Profession19,Animal nutritionist
Profession20,Animator
Profession21,Archaeologist
Profession22,Architect
Profession23,Architectural technologist
Profession24,Archivist
Profession25,Armed forces officer
Profession26,Aromatherapist
Profession27,Art therapist
Profession28,Arts administrator
Profession29,Auditor
Profession30,Automotive engineer
Profession31,Barrister
Profession32,Barrister’s clerk
Profession33,Bid manager
Profession34,Bilingual secretary
Profession35,Biomedical engineer
Profession36,Biomedical scientist
Profession37,Biotechnologist
Profession38,Border force officer
Profession39,Brand manager
Profession40,Broadcasting presenter
Profession41,Building control officer
Profession42,Building services engineer
Profession43,Building surveyor
Profession44,Business analyst
Profession45,Camera operator
Profession46,Careers adviser 
Profession47,Careers adviser
Profession48,Careers consultant
Profession49,Cartographer
Profession50,Catering manager
Profession51,Charities administrator
Profession52,Charities fundraiser
Profession53,Chemical engineer
Profession54,Child psychotherapist
Profession55,Children's nurse
Profession56,Chiropractor
Profession57,Civil engineer
Profession58,Civil Service administrator
Profession59,Clinical biochemist
Profession60,Clinical cytogeneticist
Profession61,Clinical microbiologist
Profession62,Clinical molecular geneticist
Profession63,Clinical research associate
Profession64,Clinical scientist - tissue typing
Profession65,Clothing and textile technologist
Profession66,Colour technologist
Profession67,Commercial airline pilot
Profession68,Commercial horticulturist
Profession69,Commercial surveyor
Profession70,Commissioning editor
Profession71,Commissioning engineer
Profession72,Commodity broker
Profession73,Communications engineer
Profession74,Community arts worker
Profession75,Community education officer
Profession76,Community worker
Profession77,Company secretary
Profession78,Computer sales support
Profession79,Computer scientist
Profession80,Conference organiser
Profession81,Consultant
Profession82,Control and instrumentation engineer
Profession83,Corporate banker
Profession84,Corporate treasurer
Profession85,Counsellor
Profession86,Court reporter 
Profession87,Credit analyst
Profession88,Crown Prosecution Service lawyer
Profession89,Crystallographer
Profession90,Curator
Profession91,Customs officer
Profession92,Cyber security specialist
Profession93,Dance movement psychotherapist
